"Freq [GHz]","dB(S(Port,Port)) []"
2.18125,-0.165445313592249
2.1825,-0.163608550002574
2.18375,-0.161807587873356
2.185,-0.160041528101111
2.18625,-0.158309500403095
2.1875,-0.156610662229655
2.18875,-0.15494419772406
2.19,-0.153309316727646
2.19125,-0.15170525382785
2.1925,-0.150131267447181
2.19375,-0.148586638971068
2.195,-0.147070671912748
2.19625,-0.145582691113347
2.1975,-0.144122041975564
2.19875,-0.142688089729287
2.2,-0.141280218727644
2.20125,-0.139897831772132
2.2025,-0.138540349465357
2.20375,-0.137207209590158
2.205,-0.135897866513968
2.20625,-0.134611790617044
2.2075,-0.133348467743746
2.20875,-0.132107398675619
2.21,-0.130888098625363
2.21125,-0.129690096750757
2.2125,-0.128512935687634
2.21375,-0.127356171101062
2.215,-0.126219371253933
2.21625,-0.125102116592186
2.2175,-0.124003999345957
2.21875,-0.122924623145887
2.22,-0.121863602654085
2.22125,-0.120820563208947
2.2225,-0.119795140483338
2.22375,-0.118786980155563
2.225,-0.1177957375925
2.22625,-0.116821077544554
2.2275,-0.11586267385172
2.22875,-0.114920209160457
2.23,-0.113993374650874
2.23125,-0.113081869773786
2.2325,-0.112185401997188
2.23375,-0.111303686561937
2.235,-0.110436446246033
2.23625,-0.109583411137344
2.2375,-0.108744318414301
2.23875,-0.107918912134341
2.24,-0.107106943029728
2.24125,-0.106308168310495
2.2425,-0.105522351474167
2.24375,-0.10474926212211
2.245,-0.103988675782097
2.24625,-0.103240373736988
2.2475,-0.102504142859227
2.24875,-0.101779775450875
2.25,-0.101067069089118
